Year,1,2,3,4,5,6,7
2015,359,1981,2054,377,254,774,5806
2016,707,3213,3036,1499,531,975,5608
2017,712,4224,6516,2300,918,1558,8821
2018,1273,3101,7881,2733,979,2475,9864
2019,1397,3527,9100,2664,1013,2688,12407
2020,1430,3718,9130,2615,1119,4507,12610
2021,2310,5233,13663,3883,2244,6740,12152
2022,2204,5757,15877,4241,2252,6933,14144
2023,1928,6259,14633,3481,1683,5683,12568
2024,2107,6823,44074,4453,2479,14486,16107
