Year,The General Public,Business,Government
2015,12719,299,37
2016,16670,400,65
2017,26052,643,277
2018,29590,970,457
2019,34525,893,317
2020,36740,854,355
2021,47883,1515,364
2022,53528,1455,398
2023,49002,2337,1265
2024,101941,17980,8040
