Year,1,2,3,4,5,6,7
2015,3,2,19,2,1,3,6
2016,3,6,28,5,1,11,9
2017,42,4,134,17,0,49,28
2018,29,9,177,14,2,176,47
2019,25,15,170,8,1,52,46
2020,27,17,185,10,0,35,79
2021,27,13,183,13,0,60,63
2022,43,13,192,7,0,94,46
2023,81,10,521,21,0,502,118
2024,159,44,5901,61,17,997,747
