Year,1,2,3,4,5,6,7
2015,6,8,161,10,4,33,71
2016,3,13,208,34,8,44,77
2017,21,17,342,34,8,96,114
2018,22,20,458,73,9,142,223
2019,18,37,435,76,13,82,215
2020,13,24,437,77,18,111,159
2021,32,59,680,95,33,285,294
2022,39,52,597,152,43,212,330
2023,87,67,1213,189,39,367,345
2024,325,220,12809,291,199,1915,1801
